year,sex,age,percentage
2019,all,60~69,87.5
2019,all,70+,69.1
2019,men,19~29,97.5
2019,men,30~39,98.6
2019,men,40~49,98.3
2019,men,50~59,95.6
2019,men,60~69,95.2
2019,men,70+,86.7
2019,women,19~29,96.6
2019,women,30~39,95.9
2019,women,40~49,94.7
2019,women,50~59,87.4
2019,women,60~69,80.2
2019,women,70+,57.1
2020,all,19~29,96.8
2020,all,30~39,97.3
2020,all,40~49,96.2
2020,all,50~59,93.9
2020,all,60~69,84.4
2020,all,70+,68.9
2020,men,19~29,97.9
2020,men,30~39,99.5
2020,men,40~49,97.8
2020,men,50~59,98.2
2020,men,60~69,94.7
2020,men,70+,89.5
2020,women,19~29,95.6
2020,women,30~39,95
2020,women,40~49,94.5
2020,women,50~59,89.6
2020,women,60~69,74.4
2020,women,70+,54.2
